species,latitude,longitude,year,month,day,size_class,total,location,sst_year_met,sst_month_met,sst_mean_annual,sst_month_noaa,year_of_protection,rls_mpa,MPA
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,10,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,12.5,12,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,15,3,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,12.5,6,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,15,12,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,7.5,3,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,10,4,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,12.5,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,7.5,1,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2010,2,13,10,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,12.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,7.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,10,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,12.5,3,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,15,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,2.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,20,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,2.5,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,5,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,2.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2009,2,7,12.5,3,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.5,159.07,2010,2,10,12.5,2,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.5,159.07,2010,2,10,15,7,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.5,159.07,2010,2,10,7.5,8,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.5,159.07,2010,2,10,10,12,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.5,159.07,2010,2,10,12.5,8,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.5,159.07,2010,2,10,15,8,-32_159,21.72306474049886,25.04777717590332,22.036905469780876,25.60339229447501,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.58,159.07,2009,2,6,7.5,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.58,159.07,2009,2,6,5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.58,159.07,2009,2,6,10,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,NA,NA,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,7,2.5,5,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,7,5,3,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,7,7.5,2,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,7,7.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,7,2.5,4,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,7,7.5,3,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,7,2.5,3,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,7,7.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,7,12.5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
Neoglyphidodon polyacanthus,-31.52,159.04,2009,2,7,5,1,-32_159,21.176898956298828,24.173982620239254,21.653498089423376,25.09160658291408,2004,Lord Howe Island Marine Park,0
