box_id,year,sst_mean_annual
-43_148,2006,13.760618870617591
-43_148,2007,14.766429801052563
-43_148,2008,14.005614437301302
-43_148,2009,14.362175022804573
-43_148,2010,14.704046233974092
-43_148,2011,14.239944881543721
-43_148,2012,14.54441224447365
-43_148,2013,14.764953088629735
-43_148,2014,14.676309269683001
-43_148,2015,14.669969539381054
-43_148,2016,15.212551562773074
-43_148,2017,14.88402158449774
-43_148,2018,14.886339391420965
-43_148,2019,14.459490089939065
-43_148,2020,14.304748308723742
-43_148,2021,14.92974487147919
-43_148,2022,15.05448733787014
-43_148,2023,15.275481840159795
-43_148,2024,15.416179983211997
-43_148,2025,15.07637226836322
