box_id,year,month,sst_mean_monthly
-39_146,1998,3,18.152687790573285
-39_146,1998,4,16.555369991726344
-39_146,1998,5,15.282938707686666
-39_146,1998,6,14.102184874923141
-39_146,1998,7,12.906666352330143
-39_146,1998,8,12.096021242039178
-39_146,1998,9,12.625444157918295
-39_146,1998,10,13.288709394393429
-39_146,1998,11,14.769592246302851
-39_146,1998,12,16.121576719386603
-39_146,1999,1,17.42713222025116
-39_146,1999,2,18.34488061874632
-39_146,1999,3,18.468243328901174
-39_146,1999,4,17.161369945384838
-39_146,1999,5,15.757777446487044
-39_146,1999,6,14.367147834212691
-39_146,1999,7,13.341576747142286
-39_146,1999,8,12.39566281363101
-39_146,1999,9,13.085814514866582
-39_146,1999,10,14.667132278497073
-39_146,1999,11,15.239295934747766
-39_146,1999,12,16.771684181732944
-39_146,2000,1,17.7435121775528
-39_146,2000,2,18.779961253491397
-39_146,2000,3,18.741361645387492
-39_146,2000,4,18.117332960058143
-39_146,2000,5,16.374085658767317
-39_146,2000,6,14.564851488890472
-39_146,2000,7,13.462221924976637
-39_146,2000,8,13.292114415049125
-39_146,2000,9,13.442073761975324
-39_146,2000,10,14.026988928463297
-39_146,2000,11,15.698332991423431
-39_146,2000,12,17.766451162249385
-39_146,2001,1,18.71082395464716
-39_146,2001,2,19.61115028744652
-39_146,2001,3,18.646666195230246
-39_146,2001,4,17.208184729682074
-39_146,2001,5,16.2936555903445
-39_146,2001,6,14.818962641115542
-39_146,2001,7,13.946917287765011
-39_146,2001,8,12.99344055626982
-39_146,2001,9,13.502555246706363
-39_146,2001,10,14.16917529157413
-39_146,2001,11,14.610258935998987
-39_146,2001,12,15.65215019513202
-39_146,2002,1,17.064300694346
-39_146,2002,2,17.77543610618228
-39_146,2002,3,17.69003545426126
-39_146,2002,4,17.343925525524
-39_146,2002,5,16.61039395486155
-39_146,2002,6,14.990221920719852
-39_146,2002,7,13.411827685585159
-39_146,2002,8,12.750214764721505
-39_146,2002,9,13.095925631346526
-39_146,2002,10,13.489282833632602
-39_146,2002,11,14.501851548088922
-39_146,2002,12,15.831182425167398
-39_146,2003,1,17.74759819003416
-39_146,2003,2,18.744721813807413
-39_146,2003,3,18.0710390631016
-39_146,2003,4,16.717703353034125
-39_146,2003,5,15.493619730822928
-39_146,2003,6,14.420407097427933
-39_146,2003,7,13.07881690268021
-39_146,2003,8,12.208315141739384
-39_146,2003,9,12.354370110123245
-39_146,2003,10,13.32329719980985
-39_146,2003,11,14.68492558090775
-39_146,2003,12,16.325519305403514
-39_146,2004,1,17.699641203794855
-39_146,2004,2,18.48099577015844
-39_146,2004,3,17.7027953636689
-39_146,2004,4,16.56848115567808
-39_146,2004,5,15.013189637105524
-39_146,2004,6,14.08062932756212
-39_146,2004,7,12.93709644536391
-39_146,2004,8,12.63663052999845
-39_146,2004,9,13.277888545283565
-39_146,2004,10,13.887849178792756
